professor,query,rank,result_count,top5,included_top3,included_top5
이신범,nanostructured devices,1,1,이신범,True,True
이신범,신흥 물질,1,1,이신범,True,True
이신범,emerging materials,1,1,이신범,True,True
이신범,반도체 센서,1,2,이신범 | 이성원,True,True
이신범,에너지 센서,1,5,이신범 | 김철기 | 이성원 | 박진희 | 정낙천,True,True
이신범,전기 자기 광학 화학 물성,1,1,이신범,True,True
이신범,multifunctional device,1,1,이신범,True,True
이성기,유기합성,1,3,이성기 | 서상원 | 정병혁,True,True
이성기,organic synthesis,1,3,이성기 | 정병혁 | 서상원,True,True
이성기,반응 개발,1,1,이성기,True,True
이성기,reaction development,1,1,이성기,True,True
이성기,촉매 개발,1,5,이성기 | 정병혁 | 서상원 | 김성균 | 박진희,True,True
이성기,catalyst development,1,5,이성기 | 정병혁 | 서상원 | 김성균 | 박진희,True,True
이성기,라디칼 화학,1,3,이성기 | 정병혁 | 서상원,True,True
이성기,radical chemistry,1,1,이성기,True,True
이성기,이온 반응,1,1,이성기,True,True
이성기,ionic reaction,1,1,이성기,True,True
이성기,유기 촉매,1,5,이성기 | 정병혁 | 서상원 | 김성균 | 박진희,True,True
이성기,organocatalyst,1,5,이성기 | 정병혁 | 서상원 | 김성균 | 박진희,True,True
이성기,전이금속 촉매,2,5,정병혁 | 이성기 | 서상원 | 김성균 | 박진희,True,True
이성기,유기분자 설계,1,1,이성기,True,True
이성원,초박막 소자,1,1,이성원,True,True
이성원,ultrathin device,1,2,이성원 | 이신범,True,True
이성원,유연 소자,1,1,이성원,True,True
이성원,flexible device,1,1,이성원,True,True
이성원,바이오센서,1,2,이성원 | 이신범,True,True
이성원,biosensor,1,2,이성원 | 이신범,True,True
이성원,전자피부,1,2,이성원 | 이신범,True,True
이성원,e-skin,1,2,이성원 | 이신범,True,True
이성원,웨어러블 소자,1,2,이성원 | 이신범,True,True
이성원,wearable device,1,1,이성원,True,True
이성원,땀 투과 소자,1,1,이성원,True,True
이성원,sweat permeable device,1,1,이성원,True,True
이성원,생체적합 소자,1,1,이성원,True,True
이성원,bio-compatible device,1,1,이성원,True,True
이성원,장기 건강 모니터링,1,1,이성원,True,True
박진희,금속유기구조체,1,2,박진희 | 정낙천,True,True
박진희,MOF,1,2,박진희 | 정낙천,True,True
박진희,metal-organic framework,1,2,박진희 | 정낙천,True,True
박진희,금속유기다각체,1,2,박진희 | 정낙천,True,True
박진희,MOP,1,2,박진희 | 정낙천,True,True
박진희,metal-organic polyhedra,1,1,박진희,True,True
박진희,금속유기에어로겔,1,1,박진희,True,True
박진희,MOA,1,2,박진희 | 정낙천,True,True
박진희,다공성 고분자 네트워크,1,1,박진희,True,True
박진희,porous polymer network,1,1,박진희,True,True
박진희,유무기 하이브리드,1,1,박진희,True,True
박진희,organic-inorganic hybrid,1,1,박진희,True,True
박진희,가스 흡착,1,1,박진희,True,True
박진희,ion exchange,1,1,박진희,True,True
박진희,MOF 광촉매,1,2,박진희 | 정낙천,True,True
박진희,MOF 센싱,1,2,박진희 | 정낙천,True,True
박기성,고온 초전도체,3,4,권용성 | 서정필 | 박기성 | 김아람,True,True
박기성,high-temperature superconductor,1,4,박기성 | 권용성 | 서정필 | 김아람,True,True
박기성,양자물질,1,10,박기성 | 서정필 | 김영욱 | 권용성 | 김소연,True,True
박기성,quantum materials,1,10,박기성 | 김영욱 | 권용성 | 김소연 | 서정필,True,True
박기성,위상 양자물질,1,3,박기성 | 김영욱 | 서정필,True,True
박기성,topological quantum materials,1,10,박기성 | 김영욱 | 권용성 | 서정필 | 김아람,True,True
박기성,자성물질,1,1,박기성,True,True
박기성,magnetic materials,1,2,박기성 | 유천열,True,True
박기성,단결정 합성,1,1,박기성,True,True
박기성,single crystal synthesis,1,1,박기성,True,True
박기성,flux method,1,2,박기성 | 권용성,True,True
박기성,화학기상수송,1,1,박기성,True,True
박기성,chemical vapor transport,1,1,박기성,True,True
박기성,저온 물성,1,1,박기성,True,True
박기성,low temperature physics,1,1,박기성,True,True
서대하,단분자 생물물리,1,1,서대하,True,True
서대하,single molecule biophysics,1,1,서대하,True,True
서대하,단분자 이미징,1,1,서대하,True,True
서대하,single molecule imaging,1,1,서대하,True,True
서대하,라이브셀 이미징,1,1,서대하,True,True
서대하,live-cell imaging,1,1,서대하,True,True
서대하,생세포 이미징,1,1,서대하,True,True
서대하,수용체 동역학,1,1,서대하,True,True
서대하,receptor dynamics,1,1,서대하,True,True
서대하,초고해상도 현미경,1,1,서대하,True,True
서대하,super-resolution microscopy,1,1,서대하,True,True
서대하,광집게,1,1,서대하,True,True
서대하,optical tweezer,1,1,서대하,True,True
서대하,나노메디슨,1,1,서대하,True,True
서대하,nanomedicine,1,1,서대하,True,True
서대하,세포 신호전달,1,1,서대하,True,True
서정필,2D 반도체,1,3,서정필 | 조창희 | 김영욱,True,True
