school,professor,old_summary_length,new_summary_length,display_summary
DGIST,김운혁,107,48,"김운혁 교수님은 AI/머신러닝, 반도체/전자소자, 배터리/에너지저장 분야를 연구합니다."
DGIST,호동해,118,48,"호동해 교수님은 AI/머신러닝, 반도체/전자소자, 배터리/에너지저장 분야를 연구합니다."
DGIST,김찬연,139,50,"김찬연 교수님은 AI/머신러닝, 반도체/전자소자, 촉매/전기화학/CO2 분야를 연구합니다."
DGIST,양지웅,168,49,"양지웅 교수님은 반도체/전자소자, 촉매/전기화학/CO2, 광학/이미징 분야를 연구합니다."
DGIST,박치영,136,46,"박치영 교수님은 AI/머신러닝, 반도체/전자소자, 화학/소재합성 분야를 연구합니다."
DGIST,최종민,102,44,"최종민 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,이주혁,154,46,"이주혁 교수님은 반도체/전자소자, 로봇/제어, 배터리/에너지저장 분야를 연구합니다."
DGIST,이호춘,111,64,"이호춘 교수님은 리튬이차전지, 이차전지용 신규 전극 및 전해액, 신규 에너지변환 및 저장 시스템 분야를 연구합니다."
DGIST,이종수,125,45,"이종수 교수님은 다기능성 나노재료, 무기물 태양전지, 열전소자 분야를 연구합니다."
DGIST,장윤희,179,48,"장윤희 교수님은 AI/머신러닝, 반도체/전자소자, 배터리/에너지저장 분야를 연구합니다."
DGIST,이윤구,80,49,"이윤구 교수님은 유기박막형 태양전지, AI/머신러닝, 반도체/전자소자 분야를 연구합니다."
DGIST,인수일,181,47,"인수일 교수님은 CO2 연료전환, AI/머신러닝, 반도체/전자소자 분야를 연구합니다."
DGIST,상가라쥬 샨무감,180,53,"상가라쥬 샨무감 교수님은 AI/머신러닝, 반도체/전자소자, 배터리/에너지저장 분야를 연구합니다."
DGIST,최승호,161,44,"최승호 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,홍승태,148,50,"홍승태 교수님은 Zn 이온 이차전지, 리튬 전고체전지, 반도체/전자소자 분야를 연구합니다."
DGIST,곽준명,71,39,"곽준명 교수님은 식물생물학, 발달생물학, 식물 노화 분야를 연구합니다."
DGIST,구재형,60,42,"구재형 교수님은 신경면역학, 뇌과학, 면역-신경 상호작용 분야를 연구합니다."
DGIST,기영훈,72,41,"기영훈 교수님은 암생물학, 유전체 안정성, DNA 손상 분야를 연구합니다."
DGIST,김민석,76,42,"김민석 교수님은 나노바이오의학, 바이오메디컬공학, 전자약 분야를 연구합니다."
DGIST,김민식,79,44,"김민식 교수님은 큐바이오 정밀의학, 정량생물학, 프로테오믹스 분야를 연구합니다."
DGIST,김유리,80,43,"김유리 교수님은 후성유전학, 유전체 생물학, 3D 크로마틴 분야를 연구합니다."
DGIST,김진해,67,42,"김진해 교수님은 구조생물학, 단백질 노화, NMR 분광학 분야를 연구합니다."
DGIST,김태완,63,38,"김태완 교수님은 줄기세포공학, 재생의학, 세포치료 분야를 연구합니다."
DGIST,남창훈,60,36,"남창훈 교수님은 노화생물학, 면역학, 면역노화 분야를 연구합니다."
DGIST,예경무,63,39,"예경무 교수님은 항체공학, 바이오치료제, 단백질공학 분야를 연구합니다."
DGIST,우혜련,63,43,"우혜련 교수님은 식물분자생물학, 식물 신호전달, 식물 노화 분야를 연구합니다."
DGIST,이병훈,62,41,"이병훈 교수님은 단백질 항상성, 신약개발, 단백질 분해 분야를 연구합니다."
DGIST,이상임,65,39,"이상임 교수님은 동물생태학, 행동생태학, 인지생태학 분야를 연구합니다."
DGIST,이송이,69,41,"이송이 교수님은 화학생물학, 단백질공학, 생체분자 설계 분야를 연구합니다."
DGIST,이영삼,47,41,"이영삼 교수님은 노화생물학, 세포노화, 노화 연관 기전 분야를 연구합니다."
DGIST,이재민,50,40,"이재민 교수님은 대사생리학, 노화생물학, 대사 항상성 분야를 연구합니다."
DGIST,이종찬,79,47,"이종찬 교수님은 바이오이미징, 단분자 생물물리, 초고해상도 현미경 분야를 연구합니다."
DGIST,이창훈,72,42,"이창훈 교수님은 피부생리학, 바이오인터페이스, 구조생물학 분야를 연구합니다."
DGIST,정영태,72,41,"정영태 교수님은 줄기세포생물학, 암 정밀의학, 재생의학 분야를 연구합니다."
DGIST,정찬,63,37,"정찬 교수님은 암 후성유전학, 암생물학, 뇌종양 분야를 연구합니다."
DGIST,최일규,64,39,"최일규 교수님은 T세포 생물학, 면역치료, 면역조절 분야를 연구합니다."
DGIST,요나스 페릭스,65,43,"요나스 페릭스 교수님은 유전자 조절, 오믹스, 단백질 기능 분야를 연구합니다."
서울대학교,강연준,303,36,"강연준 교수님은 기계공학, 음향공학, 소음제어 분야를 연구합니다."
서울대학교,강준호,256,41,"강준호 교수님은 기계공학, 정밀 바이오계측, 바이오센싱 분야를 연구합니다."
서울대학교,고승환,369,59,"고승환 교수님은 유연 신축성 웨어러블 전자, 레이저 직접 패터닝, 소프트 전자소자 제조 분야를 연구합니다."
서울대학교,김도년,303,43,"김도년 교수님은 기계공학, 계산역학, AI 기반 시뮬레이션 분야를 연구합니다."
서울대학교,김민수,303,39,"김민수 교수님은 기계공학, 냉동공조, 열시스템 제어 분야를 연구합니다."
서울대학교,김수용,303,42,"김수용 교수님은 기계공학, 열반응 시스템, 고에너지 물질 분야를 연구합니다."
서울대학교,김아영,303,44,"김아영 교수님은 기계공학, 모바일 로봇 인지, 자율주행 로봇 분야를 연구합니다."
서울대학교,김태용,303,37,"김태용 교수님은 기계공학, 나노 열전달, 열전도 분야를 연구합니다."
서울대학교,김호영,266,41,"김호영 교수님은 기계공학, 미세유체역학, 연성물질 역학 분야를 연구합니다."
서울대학교,도형록,194,36,"도형록 교수님은 기계공학, 반응유동, 연소유동 분야를 연구합니다."
서울대학교,민경덕,273,39,"민경덕 교수님은 기계공학, 내연기관, 자동차 동력계 분야를 연구합니다."
서울대학교,박상욱,251,38,"박상욱 교수님은 기계공학, 청정에너지, 나노열전달 분야를 연구합니다."
서울대학교,박용래,203,43,"박용래 교수님은 기계공학, 소프트 로보틱스, 생체모사 로봇 분야를 연구합니다."
서울대학교,박종우,209,40,"박종우 교수님은 기계공학, 로봇 기구학, 로봇 동역학 분야를 연구합니다."
